seed,label_noise,feature_noise,macro_f1,alpha_opt
20260622,0.1,none,0.8563205828779599,0.45
20260622,0.1,gaussian,0.8361525543359212,0.7
20260622,0.1,heavy_tailed,0.7266936598854434,0.2
20260622,0.2,none,0.7419827484343613,0.6
20260622,0.2,gaussian,0.6894977168949772,0.2
20260622,0.2,heavy_tailed,0.706374570027567,0.6
20260623,0.0,none,0.9950422017461125,0.0
20260623,0.0,gaussian,0.939906195036154,0.65
20260623,0.0,heavy_tailed,0.929890560875513,0.65
20260623,0.05,none,0.9408426317814544,0.55
20260623,0.05,gaussian,0.9064264264264263,0.15
20260623,0.05,heavy_tailed,0.8407627352226315,0.25
20260623,0.1,none,0.8829545454545455,0.45
20260623,0.1,gaussian,0.8285714285714285,0.65
20260623,0.1,heavy_tailed,0.7388321276754418,0.6
20260623,0.2,none,0.708297932596998,0.15
20260623,0.2,gaussian,0.6884115096570753,0.55
20260623,0.2,heavy_tailed,0.5359298815881124,0.6
20260624,0.0,none,1.0,0.0
20260624,0.0,gaussian,0.9801932367149758,0.65
20260624,0.0,heavy_tailed,0.9201246834210013,0.75
20260624,0.05,none,0.9306763285024156,0.6
20260624,0.05,gaussian,0.9056635918903789,0.75
20260624,0.05,heavy_tailed,0.8464719317225629,0.6
20260624,0.1,none,0.8449049662783569,0.45
20260624,0.1,gaussian,0.8348988350705089,0.95
20260624,0.1,heavy_tailed,0.6668753260302556,0.6
20260624,0.2,none,0.700773901654959,0.3
20260624,0.2,gaussian,0.7058823529411765,0.4
20260624,0.2,heavy_tailed,0.6479963239739777,0.65
20260625,0.0,none,0.9850455927051671,0.0
20260625,0.0,gaussian,0.9050023170166581,0.65
20260625,0.0,heavy_tailed,0.9095588235294116,0.7
20260625,0.05,none,0.9205734211545913,0.6
20260625,0.05,gaussian,0.8693403590944573,0.65
20260625,0.05,heavy_tailed,0.780959198282033,0.2
20260625,0.1,none,0.8272790736862377,0.45
20260625,0.1,gaussian,0.8185022026431719,0.65
20260625,0.1,heavy_tailed,0.7812196034418257,0.65
20260625,0.2,none,0.7396208070004862,0.25
20260625,0.2,gaussian,0.7026995055244043,0.6
20260625,0.2,heavy_tailed,0.711888111888112,0.6
20260626,0.0,none,1.0,0.0
20260626,0.0,gaussian,0.9700467562828756,0.75
20260626,0.0,heavy_tailed,0.9186991869918699,0.6
20260626,0.05,none,0.90119151409474,0.35
20260626,0.05,gaussian,0.8886904761904761,0.7
20260626,0.05,heavy_tailed,0.8443223443223443,0.65
20260626,0.1,none,0.8616681197326359,0.7
20260626,0.1,gaussian,0.8244390613912745,0.25
20260626,0.1,heavy_tailed,0.811266447368421,0.7
20260626,0.2,none,0.7614035087719297,0.0
20260626,0.2,gaussian,0.6662235402392882,0.05
20260626,0.2,heavy_tailed,0.6910789632308619,0.65
20260627,0.0,none,1.0,0.0
20260627,0.0,gaussian,0.8882113821138211,0.9
20260627,0.0,heavy_tailed,0.9250018292236775,0.65
20260627,0.05,none,0.9394923258559622,0.6
20260627,0.05,gaussian,0.8530076775908764,0.65
20260627,0.05,heavy_tailed,0.8480527143981118,0.65
20260627,0.1,none,0.886642023628325,0.4
20260627,0.1,gaussian,0.7990196078431373,0.25
20260627,0.1,heavy_tailed,0.6969270466807413,0.6
20260627,0.2,none,0.7545244512899498,0.45
20260627,0.2,gaussian,0.6719999999999999,0.05
20260627,0.2,heavy_tailed,0.6395010395010394,0.65
20260628,0.0,none,1.0,0.0
20260628,0.0,gaussian,0.9801932367149758,0.7
20260628,0.0,heavy_tailed,0.9503583882216196,0.7
20260628,0.05,none,0.926419811882367,0.4
20260628,0.05,gaussian,0.8867267267267267,0.7
20260628,0.05,heavy_tailed,0.8616734143049932,0.25
20260628,0.1,none,0.8421455938697318,0.55
20260628,0.1,gaussian,0.8273424275614857,0.65
20260628,0.1,heavy_tailed,0.791505230530802,0.65
20260628,0.2,none,0.7217128295505966,0.25
20260628,0.2,gaussian,0.7311789688471302,0.75
20260628,0.2,heavy_tailed,0.7289265782416467,0.75
20260629,0.0,none,0.9950422017461125,0.0
20260629,0.0,gaussian,0.939906195036154,0.6
20260629,0.0,heavy_tailed,0.940093512565751,0.65
20260629,0.05,none,0.9753653344813566,0.55
20260629,0.05,gaussian,0.8745541753781823,0.65
20260629,0.05,heavy_tailed,0.8704445530043967,0.2
20260629,0.1,none,0.8778627773408642,1.0
20260629,0.1,gaussian,0.7789215686274509,0.1
20260629,0.1,heavy_tailed,0.8031874039938557,0.25
20260629,0.2,none,0.7731141199226306,0.45
20260629,0.2,gaussian,0.6194145621932301,0.55
20260629,0.2,heavy_tailed,0.6471306471306472,0.7
20260630,0.0,none,1.0,0.0
